Skip Frames,Confidence Config,Media,Factor_escala,Count In Real,Count Out Real,Count In Estimated,Count Out Estimated,Error In Abs,Error In Rel,Error Out Abs,Error Out Rel,Error Global
25,0.3,45,0.022222222222222223,8,12,3,7,5,0.625,5,0.4166666666666667,0.5
25,0.3,65,0.015384615384615385,8,12,4,8,4,0.5,4,0.3333333333333333,0.4
25,0.3,85,0.011764705882352941,8,12,4,11,4,0.5,1,0.08333333333333333,0.25
25,0.3,95,0.010526315789473684,8,12,6,12,2,0.25,0,0.0,0.1
25,0.3,115,0.008695652173913044,8,12,5,10,3,0.375,2,0.16666666666666666,0.25
25,0.3,135,0.007407407407407408,8,12,5,11,3,0.375,1,0.08333333333333333,0.2
25,0.3,185,0.005405405405405406,8,12,3,10,5,0.625,2,0.16666666666666666,0.35
25,0.4,45,0.022222222222222223,8,12,3,6,5,0.625,6,0.5,0.55
25,0.4,65,0.015384615384615385,8,12,4,8,4,0.5,4,0.3333333333333333,0.4
25,0.4,85,0.011764705882352941,8,12,3,11,5,0.625,1,0.08333333333333333,0.3
25,0.4,95,0.010526315789473684,8,12,3,12,5,0.625,0,0.0,0.25
25,0.4,115,0.008695652173913044,8,12,2,11,6,0.75,1,0.08333333333333333,0.35
25,0.4,135,0.007407407407407408,8,12,3,11,5,0.625,1,0.08333333333333333,0.3
25,0.4,185,0.005405405405405406,8,12,1,9,7,0.875,3,0.25,0.5
25,0.5,45,0.022222222222222223,8,12,3,6,5,0.625,6,0.5,0.55
25,0.5,65,0.015384615384615385,8,12,4,8,4,0.5,4,0.3333333333333333,0.4
25,0.5,85,0.011764705882352941,8,12,3,8,5,0.625,4,0.3333333333333333,0.45
25,0.5,95,0.010526315789473684,8,12,3,10,5,0.625,2,0.16666666666666666,0.35
25,0.5,115,0.008695652173913044,8,12,2,11,6,0.75,1,0.08333333333333333,0.35
25,0.5,135,0.007407407407407408,8,12,3,11,5,0.625,1,0.08333333333333333,0.3
25,0.5,185,0.005405405405405406,8,12,1,8,7,0.875,4,0.3333333333333333,0.55
30,0.1,45,0.022222222222222223,8,12,5,4,3,0.375,8,0.6666666666666666,0.55
30,0.1,65,0.015384615384615385,8,12,5,7,3,0.375,5,0.4166666666666667,0.4
30,0.1,85,0.011764705882352941,8,12,3,13,5,0.625,1,0.08333333333333333,0.2
30,0.1,95,0.010526315789473684,8,12,3,12,5,0.625,0,0.0,0.25
30,0.1,115,0.008695652173913044,8,12,4,10,4,0.5,2,0.16666666666666666,0.3
30,0.1,135,0.007407407407407408,8,12,3,11,5,0.625,1,0.08333333333333333,0.3
30,0.1,185,0.005405405405405406,8,12,4,7,4,0.5,5,0.4166666666666667,0.45
30,0.2,45,0.022222222222222223,8,12,5,4,3,0.375,8,0.6666666666666666,0.55
30,0.2,65,0.015384615384615385,8,12,5,7,3,0.375,5,0.4166666666666667,0.4
30,0.2,85,0.011764705882352941,8,12,3,13,5,0.625,1,0.08333333333333333,0.2
30,0.2,95,0.010526315789473684,8,12,3,12,5,0.625,0,0.0,0.25
30,0.2,115,0.008695652173913044,8,12,4,10,4,0.5,2,0.16666666666666666,0.3
30,0.2,135,0.007407407407407408,8,12,3,11,5,0.625,1,0.08333333333333333,0.3
30,0.2,185,0.005405405405405406,8,12,4,7,4,0.5,5,0.4166666666666667,0.45
30,0.3,45,0.022222222222222223,8,12,5,4,3,0.375,8,0.6666666666666666,0.55
30,0.3,65,0.015384615384615385,8,12,4,7,4,0.5,5,0.4166666666666667,0.45
30,0.3,85,0.011764705882352941,8,12,3,12,5,0.625,0,0.0,0.25
30,0.3,95,0.010526315789473684,8,12,2,11,6,0.75,1,0.08333333333333333,0.35
30,0.3,115,0.008695652173913044,8,12,4,10,4,0.5,2,0.16666666666666666,0.3
