Skip Frames;Confidence Config;Media;Factor_escala;Count In Real;Count Out Real;Count In Estimated;Count Out Estimated;Error In Abs;Error In Rel;Error Out Abs;Error Out Rel
10;0.15;85;0.011764705882352941;8;12;6;8;2;0.25;4;0.3333333333333333
10;0.15;95;0.010526315789473684;8;12;5;10;3;0.375;2;0.16666666666666666
10;0.15;115;0.008695652173913044;8;12;6;11;2;0.25;1;0.08333333333333333
10;0.15;127.5;0.00784313725490196;8;12;8;11;0;0.0;1;0.08333333333333333
10;0.15;135;0.007407407407407408;8;12;9;10;1;0.125;2;0.16666666666666666
10;0.15;155;0.0064516129032258064;8;12;7;10;1;0.125;2;0.16666666666666666
10;0.15;175;0.005714285714285714;8;12;4;12;4;0.5;0;0.0
10;0.15;215;0.004651162790697674;8;12;5;8;3;0.375;4;0.3333333333333333
10;0.15;245;0.004081632653061225;8;12;4;7;4;0.5;5;0.4166666666666667
10;0.2;45;0.022222222222222223;8;12;4;6;4;0.5;6;0.5
10;0.2;65;0.015384615384615385;8;12;6;6;2;0.25;6;0.5
10;0.2;75;0.013333333333333334;8;12;4;10;4;0.5;2;0.16666666666666666
10;0.2;85;0.011764705882352941;8;12;6;8;2;0.25;4;0.3333333333333333
10;0.2;95;0.010526315789473684;8;12;5;10;3;0.375;2;0.16666666666666666
10;0.2;115;0.008695652173913044;8;12;6;11;2;0.25;1;0.08333333333333333
10;0.2;127.5;0.00784313725490196;8;12;8;11;0;0.0;1;0.08333333333333333
10;0.2;135;0.007407407407407408;8;12;9;10;1;0.125;2;0.16666666666666666
10;0.2;155;0.0064516129032258064;8;12;7;10;1;0.125;2;0.16666666666666666
10;0.2;175;0.005714285714285714;8;12;4;12;4;0.5;0;0.0
10;0.2;215;0.004651162790697674;8;12;5;8;3;0.375;4;0.3333333333333333
10;0.2;245;0.004081632653061225;8;12;4;7;4;0.5;5;0.4166666666666667
10;0.25;45;0.022222222222222223;8;12;4;6;4;0.5;6;0.5
10;0.25;65;0.015384615384615385;8;12;6;6;2;0.25;6;0.5
10;0.25;75;0.013333333333333334;8;12;4;10;4;0.5;2;0.16666666666666666
10;0.25;85;0.011764705882352941;8;12;6;8;2;0.25;4;0.3333333333333333
10;0.25;95;0.010526315789473684;8;12;5;10;3;0.375;2;0.16666666666666666
10;0.25;115;0.008695652173913044;8;12;6;11;2;0.25;1;0.08333333333333333
10;0.25;127.5;0.00784313725490196;8;12;8;11;0;0.0;1;0.08333333333333333
10;0.25;135;0.007407407407407408;8;12;9;10;1;0.125;2;0.16666666666666666
10;0.25;155;0.0064516129032258064;8;12;7;10;1;0.125;2;0.16666666666666666
10;0.25;175;0.005714285714285714;8;12;4;12;4;0.5;0;0.0
10;0.25;215;0.004651162790697674;8;12;5;8;3;0.375;4;0.3333333333333333
10;0.25;245;0.004081632653061225;8;12;4;7;4;0.5;5;0.4166666666666667
10;0.3;45;0.022222222222222223;8;12;2;7;6;0.75;5;0.4166666666666667
10;0.3;65;0.015384615384615385;8;12;7;8;1;0.125;4;0.3333333333333333
10;0.3;75;0.013333333333333334;8;12;6;10;2;0.25;2;0.16666666666666666
10;0.3;85;0.011764705882352941;8;12;6;9;2;0.25;3;0.25
10;0.3;95;0.010526315789473684;8;12;7;7;1;0.125;5;0.4166666666666667
10;0.3;115;0.008695652173913044;8;12;3;10;5;0.625;2;0.16666666666666666
10;0.3;127.5;0.00784313725490196;8;12;5;12;3;0.375;0;0.0
10;0.3;135;0.007407407407407408;8;12;4;10;4;0.5;2;0.16666666666666666
10;0.3;155;0.0064516129032258064;8;12;6;9;2;0.25;3;0.25
10;0.3;175;0.005714285714285714;8;12;3;11;5;0.625;1;0.08333333333333333
10;0.3;215;0.004651162790697674;8;12;5;7;3;0.375;5;0.4166666666666667
10;0.3;245;0.004081632653061225;8;12;4;7;4;0.5;5;0.4166666666666667
10;0.35;45;0.022222222222222223;8;12;3;7;5;0.625;5;0.4166666666666667
10;0.35;65;0.015384615384615385;8;12;2;10;6;0.75;2;0.16666666666666666
10;0.35;75;0.013333333333333334;8;12;5;10;3;0.375;2;0.16666666666666666
10;0.35;85;0.011764705882352941;8;12;6;9;2;0.25;3;0.25
10;0.35;95;0.010526315789473684;8;12;5;7;3;0.375;5;0.4166666666666667
10;0.35;115;0.008695652173913044;8;12;6;9;2;0.25;3;0.25
10;0.35;127.5;0.00784313725490196;8;12;4;10;4;0.5;2;0.16666666666666666
10;0.35;135;0.007407407407407408;8;12;4;9;4;0.5;3;0.25
10;0.35;155;0.0064516129032258064;8;12;6;10;2;0.25;2;0.16666666666666666
10;0.35;175;0.005714285714285714;8;12;3;11;5;0.625;1;0.08333333333333333
10;0.35;215;0.004651162790697674;8;12;5;7;3;0.375;5;0.4166666666666667
10;0.35;245;0.004081632653061225;8;12;4;7;4;0.5;5;0.4166666666666667
10;0.4;45;0.022222222222222223;8;12;3;6;5;0.625;6;0.5
10;0.4;65;0.015384615384615385;8;12;3;9;5;0.625;3;0.25
10;0.4;75;0.013333333333333334;8;12;5;10;3;0.375;2;0.16666666666666666
10;0.4;85;0.011764705882352941;8;12;7;9;1;0.125;3;0.25
10;0.4;95;0.010526315789473684;8;12;5;8;3;0.375;4;0.3333333333333333
10;0.4;115;0.008695652173913044;8;12;6;8;2;0.25;4;0.3333333333333333
10;0.4;127.5;0.00784313725490196;8;12;4;9;4;0.5;3;0.25
10;0.4;135;0.007407407407407408;8;12;6;9;2;0.25;3;0.25
10;0.4;155;0.0064516129032258064;8;12;3;11;5;0.625;1;0.08333333333333333
10;0.4;175;0.005714285714285714;8;12;2;11;6;0.75;1;0.08333333333333333
10;0.4;215;0.004651162790697674;8;12;5;5;3;0.375;7;0.5833333333333334
10;0.4;245;0.004081632653061225;8;12;4;5;4;0.5;7;0.5833333333333334
10;0.45;45;0.022222222222222223;8;12;3;5;5;0.625;7;0.5833333333333334
10;0.45;65;0.015384615384615385;8;12;3;9;5;0.625;3;0.25
10;0.45;75;0.013333333333333334;8;12;4;9;4;0.5;3;0.25
10;0.45;85;0.011764705882352941;8;12;6;8;2;0.25;4;0.3333333333333333
10;0.45;95;0.010526315789473684;8;12;5;8;3;0.375;4;0.3333333333333333
10;0.45;115;0.008695652173913044;8;12;7;9;1;0.125;3;0.25
10;0.45;127.5;0.00784313725490196;8;12;6;10;2;0.25;2;0.16666666666666666
10;0.45;135;0.007407407407407408;8;12;4;10;4;0.5;2;0.16666666666666666
10;0.45;155;0.0064516129032258064;8;12;2;13;6;0.75;1;0.08333333333333333
10;0.45;175;0.005714285714285714;8;12;2;9;6;0.75;3;0.25
10;0.45;215;0.004651162790697674;8;12;4;6;4;0.5;6;0.5
10;0.45;245;0.004081632653061225;8;12;4;6;4;0.5;6;0.5
10;0.5;45;0.022222222222222223;8;12;3;5;5;0.625;7;0.5833333333333334
10;0.5;65;0.015384615384615385;8;12;2;9;6;0.75;3;0.25
10;0.5;75;0.013333333333333334;8;12;3;10;5;0.625;2;0.16666666666666666
10;0.5;85;0.011764705882352941;8;12;6;8;2;0.25;4;0.3333333333333333
10;0.5;95;0.010526315789473684;8;12;5;8;3;0.375;4;0.3333333333333333
10;0.5;115;0.008695652173913044;8;12;5;9;3;0.375;3;0.25
10;0.5;127.5;0.00784313725490196;8;12;6;9;2;0.25;3;0.25
10;0.5;135;0.007407407407407408;8;12;4;10;4;0.5;2;0.16666666666666666
10;0.5;155;0.0064516129032258064;8;12;2;11;6;0.75;1;0.08333333333333333
10;0.5;175;0.005714285714285714;8;12;2;9;6;0.75;3;0.25
10;0.5;215;0.004651162790697674;8;12;3;7;5;0.625;5;0.4166666666666667
10;0.5;245;0.004081632653061225;8;12;2;7;6;0.75;5;0.4166666666666667
10;0.55;45;0.022222222222222223;8;12;3;5;5;0.625;7;0.5833333333333334
10;0.55;65;0.015384615384615385;8;12;3;8;5;0.625;4;0.3333333333333333
10;0.55;75;0.013333333333333334;8;12;3;8;5;0.625;4;0.3333333333333333
10;0.55;85;0.011764705882352941;8;12;6;8;2;0.25;4;0.3333333333333333
10;0.55;95;0.010526315789473684;8;12;6;8;2;0.25;4;0.3333333333333333
10;0.55;115;0.008695652173913044;8;12;4;9;4;0.5;3;0.25
10;0.55;127.5;0.00784313725490196;8;12;4;9;4;0.5;3;0.25
10;0.55;135;0.007407407407407408;8;12;3;10;5;0.625;2;0.16666666666666666
10;0.55;155;0.0064516129032258064;8;12;2;11;6;0.75;1;0.08333333333333333
10;0.55;175;0.005714285714285714;8;12;2;9;6;0.75;3;0.25
10;0.55;215;0.004651162790697674;8;12;3;7;5;0.625;5;0.4166666666666667
10;0.55;245;0.004081632653061225;8;12;2;7;6;0.75;5;0.4166666666666667
